game_id,season_academic_year,game_date,game_date_utc,local_time_zone,duration_sec,periods_played,overtime_periods_played,is_exhibition,neutral_site,attendance,venue_name,venue_city,venue_state,venue_lat,venue_lon,team_id,school_id,team_name,is_home,is_win,team_score,team_game_number,sGames,sGoals,sAssists,sPoints,sShotAttempts,sTotalShotAttempts,sBlocks,sPlusMinus,sPowerPlayGoals,sTeamPowerPlayGoalAtt,sPowerPlayShots,sPowerPlayAssists,sPowerPlayPercentage,sShortHandedShots,sPenalties,sMinorPenalty,sMajorPenalty,sGameMisconduct,sPenaltyMinutes,sFaceoffsWon,sFaceoffsLost,sFaceoffPercentage,sGoalieMinutes,sGoalsAllowed,sSaves,sSavePercentage,sGoalsAgAverage,sGoals_p1,sShotAttempts_p1,sPenaltyMinutes_p1,sPenalties_p1,sFaceoffsWon_p1,sFaceoffsLost_p1,sGoalsAllowed_p1,sSaves_p1,sGoals_p2,sShotAttempts_p2,sPenaltyMinutes_p2,sPenalties_p2,sFaceoffsWon_p2,sFaceoffsLost_p2,sGoalsAllowed_p2,sSaves_p2,sGoals_p3,sShotAttempts_p3,sPenaltyMinutes_p3,sPenalties_p3,sFaceoffsWon_p3,sFaceoffsLost_p3,sGoalsAllowed_p3,sSaves_p3,boxscore_link,iframe_id,opponent_score,scoring_margin,travel_distance,rest_days,timezone_offset,timezone_shift,travel_distance_norm,rest_days_norm,timezone_shift_norm,travel_intensity,is_away,travel_intensity_category
5722690,2025,2024-11-29T19:00:00.000Z,2024-11-30T00:00:00.000Z,America/New_York,10200,3,0,False,True,9000,SSE arena Belfast,,,54.603643,-5.914228,592900,275,Harvard,False,False,2,9,1,2,2,4,31,58,19,-6.0,,1,1.0,,0.0,,3.0,3.0,,,6.0,31,31,0.5,3600.0,5,22,0.814814814814815,5.0,,4,2.0,1.0,7,15,3,7,2.0,16,2.0,1.0,10,10,0,6,,11,2.0,1.0,14,6,2,9,https://fightingirish.com/boxscore/412388/,5722690,5,-3,,,-5,,,,,,1,First Game
5722525,2025,2024-11-08T18:00:00.000Z,2024-11-08T23:00:00.000Z,America/Detroit,9720,4,1,False,False,5800,Yost Ice Arena,Ann Arbor,MI,42.267653,-83.740971,592910,418,Michigan,True,True,2,9,1,2,2,4,47,88,14,3.0,,4,8.0,,0.0,,4.0,4.0,,,8.0,51,28,0.645569620253165,3721.99998,1,18,0.947368421052632,0.967221928894261,,13,,,17,10,0,8,1.0,19,6.0,3.0,20,8,1,5,,11,2.0,1.0,13,9,0,5,https://fightingirish.com/boxscore/416749/,5722525,1,1,,,-5,,,,,,0,First Game
5722526,2025,2024-11-09T19:00:00.000Z,2024-11-10T00:00:00.000Z,America/Detroit,9540,3,0,False,False,5800,Yost Ice Arena,Ann Arbor,MI,42.267653,-83.740971,592910,418,Michigan,True,True,4,10,1,4,7,11,34,64,8,10.0,,4,8.0,,0.0,1.0,3.0,3.0,,,6.0,42,37,0.531645569620253,3600.0,2,27,0.931034482758621,2.0,2.0,16,2.0,1.0,13,15,1,6,1.0,8,2.0,1.0,11,9,1,12,1.0,10,2.0,1.0,18,13,0,9,https://fightingirish.com/boxscore/416750/,5722526,2,2,0.0,1.0,-5,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,0,Medium
5722453,2025,2025-01-17T19:00:00.000Z,2025-01-18T01:00:00.000Z,America/Chicago,7680,3,0,False,False,10362,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,True,5,26,1,5,7,12,46,78,10,15.0,,2,3.0,,0.0,1.0,1.0,1.0,,,2.0,21,23,0.477272727272727,3600.0,2,13,0.866666666666667,2.0,5.0,24,,,8,12,1,4,,10,2.0,1.0,7,7,1,5,,12,,,6,4,0,4,https://fightingirish.com/boxscore/416759/,5722453,2,3,,,-6,,,,,,0,First Game
5722454,2025,2025-01-18T17:00:00.000Z,2025-01-18T23:00:00.000Z,America/Chicago,9540,4,1,False,False,10346,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,False,3,27,1,3,5,8,33,58,10,-3.0,,2,,,0.0,,2.0,2.0,,,4.0,31,30,0.508196721311475,3826.00002,4,27,0.870967741935484,3.76372188309607,1.0,14,,,6,9,1,10,1.0,9,4.0,2.0,12,14,2,13,1.0,9,,,12,6,0,2,https://fightingirish.com/boxscore/416760/,5722454,4,-1,0.0,0.0,-6,0.0,0.0,1.0,0.0,0.4,0,Medium
6364024,2025,2025-03-07T20:00:00.000Z,2025-03-08T02:00:00.000Z,America/Chicago,9120,3,0,False,False,5551,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,False,2,38,1,2,4,6,32,68,4,-10.0,1.0,3,4.0,2.0,0.333333333333333,,2.0,2.0,,,4.0,29,30,0.491525423728814,3600.0,3,21,0.875,3.0,1.0,13,,,19,10,2,7,,11,4.0,2.0,6,12,1,8,1.0,8,,,4,8,0,6,https://fightingirish.com/boxscore/416771/,6364024,3,-1,0.0,48.0,-6,0.0,0.0,0.0,0.0,0.0,0,Low
6364025,2025,2025-03-08T20:00:00.000Z,2025-03-09T02:00:00.000Z,America/Chicago,9120,3,0,False,False,6331,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,True,4,39,1,4,7,11,35,67,13,5.0,1.0,2,3.0,2.0,0.5,,1.0,1.0,,,2.0,27,20,0.574468085106383,3600.0,2,21,0.91304347826087,2.0,,15,,,10,8,0,7,1.0,11,,,7,7,1,8,3.0,9,2.0,1.0,10,5,1,6,https://fightingirish.com/boxscore/434156/,6364025,2,2,0.0,1.0,-6,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,0,Medium
6364026,2025,2025-03-09T19:00:00.000Z,2025-03-10T00:00:00.000Z,America/Chicago,9000,3,0,False,False,4642,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592912,428,Minnesota,True,False,1,40,1,1,2,3,39,77,9,-20.0,1.0,3,5.0,2.0,0.333333333333333,,,,,,,27,36,0.428571428571429,3600.0,4,17,0.80952380952381,4.0,,14,,,10,9,1,6,,10,,,7,15,1,9,1.0,15,,,10,12,2,2,https://fightingirish.com/boxscore/434167/,6364026,4,-3,0.0,0.0,-6,0.0,0.0,1.0,0.0,0.4,0,Medium
5728388,2025,2024-10-11T19:00:00.000Z,2024-10-11T23:00:00.000Z,America/New_York,8700,3,0,False,False,1510,Appleton Arena,Canton,NY,44.5864296,-75.1660479,592923,513,Notre Dame,False,True,4,1,1,4,6,10,38,67,7,15.0,1.0,3,6.0,2.0,0.333333333333333,,3.0,3.0,,,6.0,34,33,0.507462686567164,3600.0,1,32,0.96969696969697,1.0,1.0,14,4.0,2.0,6,12,1,6,2.0,14,,,12,11,0,8,1.0,10,4.0,2.0,16,10,0,18,https://fightingirish.com/boxscore/412382/,5728388,1,3,,,-5,,,,,,1,First Game
5728391,2025,2024-10-12T19:00:00.000Z,2024-10-12T23:00:00.000Z,America/New_York,9540,3,0,False,False,3110,Cheel Arena,Potsdam,NY,44.6639109,-75.0020218,592923,513,Notre Dame,False,True,5,2,1,5,7,12,27,61,11,5.0,2.0,4,4.0,4.0,0.5,1.0,3.0,3.0,,,6.0,29,18,0.617021276595745,3600.0,2,30,0.9375,2.0,,6,2.0,1.0,6,5,2,8,1.0,9,2.0,1.0,11,6,0,11,4.0,12,2.0,1.0,12,7,0,11,https://fightingirish.com/boxscore/412383/,5728391,2,3,9.681463049389736,1.0,-5,0.0,0.002722625604733346,0.9791666666666666,0.0,0.39275571690856,1,Medium
5722525,2025,2024-11-08T18:00:00.000Z,2024-11-08T23:00:00.000Z,America/Detroit,9720,4,1,False,False,5800,Yost Ice Arena,Ann Arbor,MI,42.267653,-83.740971,592923,513,Notre Dame,False,False,1,9,1,1,1,2,19,45,19,-3.0,,3,3.0,,0.0,1.0,5.0,5.0,,,10.0,28,51,0.354430379746835,3721.99998,2,45,0.957446808510638,1.93444385778852,,8,2.0,1.0,10,17,0,13,1.0,6,4.0,2.0,8,20,1,18,,5,4.0,2.0,9,13,0,11,https://fightingirish.com/boxscore/416749/,5722525,2,-1,468.19432727581335,26.0,-5,0.0,0.13166582952691064,0.45833333333333337,0.0,0.2359996651440976,1,Low
5722526,2025,2024-11-09T19:00:00.000Z,2024-11-10T00:00:00.000Z,America/Detroit,9540,3,0,False,False,5800,Yost Ice Arena,Ann Arbor,MI,42.267653,-83.740971,592923,513,Notre Dame,False,False,2,10,1,2,4,6,29,52,19,-11.0,,2,5.0,,0.0,,5.0,5.0,,,10.0,37,42,0.468354430379747,3600.0,4,30,0.882352941176471,4.0,1.0,7,6.0,3.0,15,13,2,14,1.0,13,2.0,1.0,9,11,1,7,,9,2.0,1.0,13,18,1,9,https://fightingirish.com/boxscore/416750/,5722526,4,-2,0.0,1.0,-5,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,1,Medium
5722592,2025,2024-11-15T19:00:00.000Z,2024-11-16T00:00:00.000Z,America/Detroit,9900,3,0,False,False,6555,Munn Ice Arena,East Lansing,MI,42.72832690000001,-84.4893661,592923,513,Notre Dame,False,False,3,11,1,3,5,8,30,37,17,-20.0,1.0,4,6.0,2.0,0.25,,4.0,4.0,,,8.0,38,38,0.5,3600.0,8,33,0.804878048780488,8.0,1.0,8,4.0,2.0,15,12,2,11,2.0,16,2.0,1.0,17,9,3,6,,6,2.0,1.0,6,17,3,16,https://fightingirish.com/boxscore/416751/,5722592,8,-5,49.668026668121506,6.0,-5,0.0,0.013967665884107283,0.875,0.0,0.35558706635364296,1,Medium
5722591,2025,2024-11-16T20:00:00.000Z,2024-11-17T01:00:00.000Z,America/Detroit,8700,3,0,False,False,6555,Munn Ice Arena,East Lansing,MI,42.72832690000001,-84.4893661,592923,513,Notre Dame,False,False,3,12,1,3,6,9,31,50,13,-9.0,1.0,4,3.0,2.0,0.25,,2.0,2.0,,,4.0,29,32,0.475409836065574,3600.0,4,26,0.866666666666667,4.0,1.0,7,4.0,2.0,11,11,2,12,1.0,10,,,6,12,2,7,1.0,14,,,12,9,0,7,https://fightingirish.com/boxscore/416752/,5722591,4,-1,0.0,1.0,-5,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,1,Medium
5722690,2025,2024-11-29T19:00:00.000Z,2024-11-30T00:00:00.000Z,America/New_York,10200,3,0,False,True,9000,SSE arena Belfast,,,54.603643,-5.914228,592923,513,Notre Dame,False,True,5,15,1,5,8,13,27,62,11,5.0,2.0,3,11.0,4.0,0.666666666666667,,1.0,1.0,,,2.0,31,31,0.5,3600.0,2,29,0.935483870967742,2.0,3.0,10,,,15,7,0,4,,6,2.0,1.0,10,10,2,14,2.0,11,,,6,14,0,11,https://fightingirish.com/boxscore/412388/,5722690,2,3,3482.6926328403,12.0,-5,0.0,0.9794044647192953,0.75,0.0,0.6917617858877182,1,High
5722693,2025,2024-11-30T14:00:00.000Z,2024-11-30T19:00:00.000Z,America/New_York,9900,3,0,False,True,9000,SSE arena Belfast,,,54.603643,-5.914228,592923,513,Notre Dame,False,False,3,16,1,3,6,9,31,49,10,-6.0,,4,4.0,,0.0,,4.0,4.0,,,8.0,37,25,0.596774193548387,3600.0,4,26,0.866666666666667,4.0,2.0,10,,,13,4,1,8,1.0,7,4.0,2.0,10,9,0,8,,14,4.0,2.0,14,12,3,10,https://fightingirish.com/boxscore/412389/,5722693,4,-1,0.0,0.0,-5,0.0,0.0,1.0,0.0,0.4,1,Medium
5722642,2025,2024-12-13T19:00:00.000Z,2024-12-14T00:00:00.000Z,America/New_York,8820,4,1,False,False,4009,Value City Arena,Columbus,OH,40.00766,-83.0250631,592923,513,Notre Dame,False,False,1,17,1,1,2,3,19,55,18,2.0,,2,5.0,,0.0,,2.0,2.0,,,4.0,35,19,0.648148148148148,3712.99998,2,41,0.953488372093023,1.93913278717551,1.0,8,,,11,8,0,11,,5,2.0,1.0,10,6,0,18,,5,2.0,1.0,13,5,1,12,https://fightingirish.com/boxscore/416761/,5722642,2,-1,3555.9288917867716,13.0,-5,0.0,1.0,0.7291666666666667,0.0,0.6916666666666667,1,High
5722641,2025,2024-12-14T19:00:00.000Z,2024-12-15T00:00:00.000Z,America/New_York,10260,3,0,False,False,4363,Value City Arena,Columbus,OH,40.00766,-83.0250631,592923,513,Notre Dame,False,False,1,18,1,1,2,3,15,29,12,-5.0,,1,2.0,,0.0,,5.0,5.0,,,10.0,30,33,0.476190476190476,3600.0,3,34,0.918918918918919,3.0,,2,2.0,1.0,5,11,1,15,1.0,6,,,14,13,1,12,,7,8.0,4.0,11,9,1,7,https://fightingirish.com/boxscore/416762/,5722641,3,-2,0.0,1.0,-5,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,1,Medium
5722305,2025,2025-01-03T20:30:00.000Z,2025-01-04T02:30:00.000Z,America/Chicago,12900,5,2,False,True,25709,Wrigley Field,Chicago,IL,41.9484384,-87.6553327,592923,513,Notre Dame,False,,3,19,1,3,6,9,46,67,10,-5.0,1.0,2,5.0,2.0,0.5,1.0,2.0,2.0,,,4.0,33,45,0.423076923076923,3900.0,3,39,0.928571428571429,2.76923076923077,2.0,17,2.0,1.0,11,19,1,14,,11,2.0,1.0,13,11,1,7,1.0,14,,,7,14,1,16,https://fightingirish.com/boxscore/413924/,5722305,3,0,276.2147085990616,20.0,-6,1.0,0.07767723062096164,0.5833333333333333,0.5,0.3644042255817179,1,Medium
5722453,2025,2025-01-17T19:00:00.000Z,2025-01-18T01:00:00.000Z,America/Chicago,7680,3,0,False,False,10362,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592923,513,Notre Dame,False,False,2,23,1,2,3,5,15,42,12,-15.0,,1,,,0.0,,2.0,2.0,,,4.0,23,21,0.522727272727273,3600.0,5,41,0.891304347826087,5.0,1.0,5,2.0,1.0,12,8,5,19,1.0,6,2.0,1.0,7,7,0,10,,4,,,4,6,0,12,https://fightingirish.com/boxscore/416759/,5722453,5,-3,349.0540016429479,13.0,-6,0.0,0.09816113096332374,0.7291666666666667,0.0,0.3309311190519962,1,Medium
5722454,2025,2025-01-18T17:00:00.000Z,2025-01-18T23:00:00.000Z,America/Chicago,9540,4,1,False,False,10346,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592923,513,Notre Dame,False,True,4,24,1,4,8,12,31,51,14,3.0,,2,7.0,,0.0,,2.0,2.0,,,4.0,30,31,0.491803278688525,3826.00002,3,30,0.909090909090909,2.82279141232205,1.0,11,,,9,6,1,13,2.0,15,2.0,1.0,14,12,1,8,,2,2.0,1.0,6,12,1,8,https://fightingirish.com/boxscore/416760/,5722454,3,1,0.0,0.0,-6,0.0,0.0,1.0,0.0,0.4,1,Medium
5729023,2025,2025-02-21T19:30:00.000Z,2025-02-22T01:30:00.000Z,America/Chicago,9660,3,0,False,False,12463,Kohl Center,Madison,WI,43.0694893,-89.3969716,592923,513,Notre Dame,False,False,3,31,1,3,6,9,25,52,11,-25.0,2.0,7,12.0,4.0,0.285714285714286,,4.0,4.0,,,8.0,29,31,0.483333333333333,3600.0,7,24,0.774193548387097,7.0,,6,2.0,1.0,11,9,4,11,2.0,11,,,8,13,2,9,1.0,8,6.0,3.0,10,9,1,4,https://fightingirish.com/boxscore/416767/,5729023,7,-4,231.52684729185358,34.0,-6,0.0,0.0651100891884024,0.29166666666666663,0.0,0.14271070234202762,1,Low
5729024,2025,2025-02-22T19:30:00.000Z,2025-02-23T01:30:00.000Z,America/Chicago,9600,3,0,False,False,12959,Kohl Center,Madison,WI,43.0694893,-89.3969716,592923,513,Notre Dame,False,True,6,32,1,6,11,17,24,40,19,18.0,1.0,5,3.0,2.0,0.2,2.0,9.0,6.0,1.0,1.0,37.0,24,28,0.461538461538462,3600.0,1,31,0.96875,1.0,2.0,9,2.0,1.0,7,8,0,9,2.0,8,8.0,4.0,13,12,1,14,2.0,7,27.0,4.0,4,8,0,8,https://fightingirish.com/boxscore/416768/,5729024,1,5,0.0,1.0,-6,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,1,Medium
6364024,2025,2025-03-07T20:00:00.000Z,2025-03-08T02:00:00.000Z,America/Chicago,9120,3,0,False,False,5551,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592923,513,Notre Dame,False,True,3,35,1,3,3,6,24,35,15,10.0,,2,1.0,,0.0,2.0,3.0,3.0,,,6.0,30,29,0.508474576271186,3600.0,2,30,0.9375,2.0,2.0,9,2.0,1.0,10,19,1,12,1.0,9,4.0,2.0,12,6,0,11,,6,,,8,4,1,7,https://fightingirish.com/boxscore/416771/,6364024,2,1,231.52684729185358,13.0,-6,0.0,0.0651100891884024,0.7291666666666667,0.0,0.31771070234202764,1,Low
6364025,2025,2025-03-08T20:00:00.000Z,2025-03-09T02:00:00.000Z,America/Chicago,9120,3,0,False,False,6331,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592923,513,Notre Dame,False,False,2,36,1,2,4,6,23,47,17,-6.0,,1,,,0.0,,2.0,2.0,,,4.0,20,27,0.425531914893617,3600.0,4,31,0.885714285714286,4.0,,7,2.0,1.0,8,10,0,15,1.0,9,2.0,1.0,7,7,1,10,1.0,7,,,5,10,3,6,https://fightingirish.com/boxscore/434156/,6364025,4,-2,0.0,1.0,-6,0.0,0.0,0.9791666666666666,0.0,0.39166666666666666,1,Medium
6364026,2025,2025-03-09T19:00:00.000Z,2025-03-10T00:00:00.000Z,America/Chicago,9000,3,0,False,False,4642,3M Arena at Mariucci,Minneapolis,MN,44.9781197,-93.2280266,592923,513,Notre Dame,False,True,4,37,1,4,8,12,21,42,23,20.0,,0,,,,,3.0,3.0,,,6.0,36,27,0.571428571428571,3600.0,1,38,0.974358974358974,1.0,1.0,7,2.0,1.0,9,10,0,14,1.0,10,2.0,1.0,15,7,0,10,2.0,4,2.0,1.0,12,10,1,14,https://fightingirish.com/boxscore/434167/,6364026,1,3,0.0,0.0,-6,0.0,0.0,1.0,0.0,0.4,1,Medium
5722642,2025,2024-12-13T19:00:00.000Z,2024-12-14T00:00:00.000Z,America/New_York,8820,4,1,False,False,4009,Value City Arena,Columbus,OH,40.00766,-83.0250631,592925,518,Ohio St.,True,True,2,18,1,2,4,6,43,74,17,-2.0,1.0,2,7.0,2.0,0.5,1.0,2.0,2.0,,,4.0,19,35,0.351851851851852,3712.99998,1,18,0.947368421052632,0.969566393587753,,11,2.0,1.0,8,11,1,7,,18,2.0,1.0,6,10,0,5,1.0,13,,,5,13,0,5,https://fightingirish.com/boxscore/416761/,5722642,1,1,,,-5,,,,,,0,First Game
